timestamp,src_dpid,dst_dpid,computation_time_ms
1779665179.0401933,13,17,0.7072999997035367
1779665181.054907,14,18,0.02487500023562461
1779665181.0896282,13,17,0.1004129999273573
1779665181.0965827,14,18,0.024275999749079347
1779665181.13131,18,14,0.01933900011863443
1779665181.1735806,17,13,0.03218099982404965
1779665181.1758475,18,14,0.02546600035202573
1779665193.6713548,17,13,0.030869000056554796
1779665298.5475135,13,17,0.6858269998701871
1779665300.5415761,13,17,0.022754999918106478
1779665300.5432568,14,18,0.01727700009723776
1779665300.5449011,14,18,0.013623999620904215
1779665300.5949774,17,13,0.020201000097586075
1779665300.5978718,18,14,0.02059600001302897
1779665300.600388,18,14,0.022172000171849504
1779665313.1646297,17,13,0.07350199985012296
1779675391.985141,13,17,0.5166490000192425
1779675394.0059392,14,18,0.06469700002753598
1779675394.008905,14,18,0.022024999964287417
1779675394.0163198,13,17,0.02303600001596351
1779675394.0668302,18,14,0.03314400004228446
1779675394.0684707,18,14,0.023312999985591887
1779675394.0712109,17,13,0.04690499997650477
1779675406.6217937,17,13,0.04313800002364587
1779676036.6411908,13,17,0.4572770000095261
1779676038.636645,14,18,0.02058400002624694
1779676038.6385252,14,18,0.017772999967746728
1779676038.662128,13,17,0.018149999959859997
1779676038.6952739,18,14,0.021784999944429728
1779676038.6969216,18,14,0.017743999933372834
1779676038.7285402,17,13,0.018769999996948172
1779676051.2552726,17,13,0.05190499996388098
1779676396.5530667,13,17,0.521412999887616
1779676398.5503,14,18,0.028578999945239048
1779676398.5520804,14,18,0.02117899998665962
1779676398.5550406,13,17,0.047993999942264054
1779676398.613361,18,14,0.023020999833534006
1779676398.6148927,18,14,0.01522099978501501
1779676398.618177,17,13,0.02050400007647113
1779676411.1555154,17,13,0.03112500007773633
1780010388.8897426,13,17,0.8011350000742823
1780010400.734693,17,13,0.13271099987832713
1780010658.7197833,13,17,4.114092999770946
1780010670.5758736,17,13,0.09074500030692434
1780011002.8954053,13,17,0.6920240002727951
1780011005.1469564,14,18,0.05578200034506153
1780011005.2262945,13,17,0.052164999942760915
1780011005.2544987,18,14,0.0470670001959661
1780011005.2970955,14,18,0.041274999603047036
1780011005.3526955,17,13,0.03666200063889846
1780011005.460271,18,14,0.05152100038685603
1780011017.6371965,17,13,0.09903699992719339
1780011467.2589595,13,17,1.4040140003999113
1780011469.2674172,14,18,0.05073100055597024
1780011469.305426,13,17,0.061793999520887155
1780011469.349564,18,14,0.03498600017337594
1780011469.383444,17,13,0.04294800055504311
