timestamp,src_dpid,dst_dpid,computation_time_ms
1779665394.3869078,13,17,2.1052229999440897
1779665396.374529,14,18,2.0636849999391416
1779665396.394469,14,18,1.3660780000464001
1779665396.3983355,13,17,1.370807000057539
1779665396.4343674,18,14,1.4384090000021388
1779665396.4502494,18,14,1.4496460003101674
1779665396.4576108,17,13,1.2147070001446991
1779675479.3916602,13,17,2.705162999973254
1779675481.392062,14,18,1.9650919999776306
1779675481.4037569,14,18,1.2780359999737811
1779675481.423118,13,17,1.5895500000056018
1779675481.477573,18,14,1.7499970000471876
1779675481.4836435,18,14,2.478073000020231
1779675481.5054107,17,13,1.8065600000340964
1779676109.6390631,13,17,2.0660709999447135
1779676111.6241772,14,18,1.5672160000121949
1779676111.6268706,14,18,1.2001310001323873
1779676111.6485043,13,17,1.3705900000786642
1779676111.6743884,18,14,1.792592999890985
1779676111.677515,18,14,1.4783730000544892
1779676111.6924338,17,13,1.5547040000001289
1779676497.621757,13,17,2.5097029999869847
1779676499.6226065,14,18,2.0214470000610163
1779676499.6471572,14,18,1.2213830000291637
1779676499.664736,13,17,1.9708439999703842
1779676499.6828203,18,14,1.262937000092279
1779676499.6985872,18,14,1.348462999885669
1779676499.7158086,17,13,1.6350840000995959
1779684877.9935842,13,18,2.225099999975555
1779684879.9927952,14,17,1.3450919999797861
1779684879.9965374,14,18,1.7285459999811792
1779684880.0472245,17,14,1.5646610000032979
1779684880.0502348,18,14,1.5031320000105097
1779684883.0573716,10,14,1.3579039999740417
1779684883.0621073,10,14,2.087339000013344
1779685069.8052423,13,17,2.0539250000410902
1779685069.8497505,17,13,1.2178650000009839
1779685071.7905927,14,18,1.7150319999927888
1779685071.7964768,13,17,3.743966999991244
1779685071.84433,17,13,1.297448999991957
1779685071.8473544,18,14,1.2298360000499997
1779685074.7372336,5,18,1.9314620000159266
1779685074.7405016,5,17,1.6051789999664834
1779685074.7447283,5,17,1.3606929999809836
1779685074.7485917,5,18,1.7652700000212462
1779685074.7538989,5,18,1.4611539999691558
1779685074.7567518,5,17,1.2010500000201318
1779685074.7616324,2,17,2.4101320000227133
1779685074.8644254,10,13,2.2730539999997745
1779685483.48777,13,17,2.3495410000577976
1779685483.5321548,17,13,1.759504000006018
1779685485.4856112,13,17,1.7770420000715603
1779685485.4911253,14,18,1.8433040000900291
1779685485.5311608,17,13,1.726608000012675
1779685485.5391598,18,14,1.5996440000662915
1779685488.4404624,5,17,2.8053849999878366
1779685488.448321,5,17,2.5378710000723004
1779685488.460868,2,17,1.9613409999692522
1779685489.5431442,10,13,2.369711000028474
1779693331.6712246,13,17,2.340374999988626
1779693333.6908238,14,18,1.4901130000168905
1779693333.6939387,14,18,1.4954279999983555
1779693333.7286372,13,17,1.4366480000091997
1779693333.7497702,18,14,1.6820790000053876
1779693333.7625387,18,14,1.3783919999923455
1779693333.7967257,17,13,1.3047260000007554
1780007606.968331,13,17,6.964933000062956
1780007691.64331,13,17,6.153648000008616
1780007703.4993935,17,13,4.122294000012516
1780007999.488619,13,17,3.744510000160517
1780008011.312322,17,13,7.255926999960138
1780008918.1024885,13,17,5.864038000026994
1780008929.9942226,17,13,4.893433999768604
1780009058.9745462,13,17,9.014844999910565
1780009070.858941,17,13,7.945196000036958
1780010745.4366584,13,17,6.461505000061152
1780011082.470224,13,17,7.47166000019206
1780011084.8139849,14,18,8.65860799967777
1780011084.916013,13,17,3.169634999721893
1780011084.9677904,18,14,4.390516000057687
1780011085.0456684,17,13,4.5684770002480946
1780011085.4870775,14,18,4.107894999833661
1780011085.5677543,18,14,3.3842920001916355
1780011577.6918457,13,17,8.068957999967097
1780011579.696928,14,18,4.6392499998546555
1780011579.7389698,13,17,9.841780999522598
1780011579.7829876,18,14,4.195913999865297
1780011579.865202,17,13,5.387903000155347
1780011582.921339,5,17,5.264792000161833
1780011582.9398184,5,17,5.440739000732719
1780011582.9515789,5,17,5.115549999572977
1780011583.0024261,1,14,3.5956080000687507
1780011583.009777,1,13,3.3846959995571524
1780034052.0576673,13,17,6.294303000686341
1780034053.9560063,13,17,2.2809399997640867
1780034053.9817238,14,18,2.6982320014212746
1780034054.0363905,17,13,5.136944999321713
1780034054.059313,18,14,2.2646190009254497
1780034056.8482306,5,17,6.79323700023815
1780034056.8618577,5,17,3.6563180001394358
1780034056.8742578,5,17,3.6524829993140884
1780034056.8899374,2,17,6.349317000058363
1780034057.035419,1,13,2.8913249989273027
1780034335.2157898,13,17,5.5402040015906096
1780034337.044786,13,17,2.1114139999554027
1780034337.0947268,14,18,2.135386999725597
1780034337.1132195,17,13,2.3714799990557367
1780034337.1468966,18,14,2.006836000873591
1780034463.1800966,13,17,3.9610879994143033
1780034465.1412015,14,18,2.057126001091092
1780034465.1570067,13,17,2.0777999998244923
1780034465.2105243,18,14,2.784616001008544
1780034465.2280197,17,13,2.349958000195329
1780034468.0523112,5,18,4.5821799994882895
1780034468.0727887,5,18,5.830222000440699
1780034468.2032535,10,14,2.3856090010667685
1780034468.225419,10,13,3.0343899998115376
1780034478.5430126,17,13,3.881770000589313
1780034478.77773,18,18,1.2537140009953873
1780034478.8026342,17,17,1.1862119990837527
1780034909.212496,13,17,3.0735159998585004
1780034909.248759,13,17,1.8420419983158354
1780034909.253109,14,18,2.045529001406976
1780034911.1709597,2,18,5.191694001041469
1780034911.1959555,2,18,5.253524999716319
1780034929.6676497,17,13,8.2618079995882
1780034929.6838374,18,14,5.717537000236916
1780034929.6918702,17,13,2.898615000958671
1780042376.5110917,13,17,7.222314998216461
1780042378.5044715,14,18,2.7319090004311875
1780042378.592153,14,18,1.954423998540733
1780042378.6255856,13,17,2.700667999306461
1780042378.6901324,18,14,2.603888002340682
1780042378.7058344,17,13,2.1162759985600132
1780042378.727398,18,14,2.362152998102829
1780124964.7361078,13,17,2.9816309997841017
1780124964.7701683,14,18,2.186405999964336
1780124964.7761776,13,17,2.1024919988121837
1780124966.860011,5,17,4.12482300089323
1780124966.8662379,5,17,2.2499830010929145
1780124984.5095918,13,17,7.692821000091499
1780124984.5210218,14,18,4.232077999404282
1780125620.5765853,13,17,3.4495529980631545
1780125620.6323965,14,18,2.6141969974560197
1780125620.705538,13,17,2.426972998364363
1780125622.6046312,5,18,5.403762999776518
1780125622.6175327,5,17,5.582967998634558
1780126435.1164067,14,18,3.8335659992299043
1780126435.141844,13,17,2.3028649993648287
1780126435.1486363,13,17,2.0184280001558363
1780126830.0061142,13,17,2.9695640005229507
