timestamp,src_dpid,dst_dpid,computation_time_ms
1779665348.6814463,13,17,14.176159000271582
1779665350.6849484,14,18,14.887291999912122
1779665350.7026134,14,18,15.520078000008652
1779665350.7199755,13,17,15.321149000101286
1779665350.7866547,18,14,15.903832000276452
1779665350.8027155,18,14,13.999589999912132
1779665350.822655,17,13,14.371819999723812
1779675434.4224772,13,17,14.618687000051978
1779675436.4278657,14,18,16.465730000049916
1779675436.4443161,14,18,14.736913000035656
1779675436.459062,13,17,12.725450000004912
1779675436.528607,17,13,13.447115000019494
1779675436.5449605,18,14,13.813986000002387
1779675436.560331,18,14,13.88226400001713
1779676068.235657,13,17,16.945081000017126
1779676070.2324965,13,17,14.863568000009764
1779676070.256637,14,18,13.535231999981079
1779676070.2723224,14,18,13.675802999955522
1779676070.347166,17,13,11.58107599997038
1779676070.3624682,18,14,13.432451999960904
1779676070.386386,18,14,12.471116000028815
1779676536.0413625,13,17,13.143683000180317
1779676538.058525,14,18,13.887004000025627
1779676538.071856,14,18,11.674962000142841
1779676538.1196759,13,17,14.008241000055932
1779676538.1599555,18,14,13.597270999980537
1779676538.1762607,18,14,14.12055099990539
1779676538.1995537,17,13,12.371075999908498
1780008076.4738941,13,17,37.85872100002052
1780008088.330209,17,13,32.04375599989362
1780008441.524516,13,17,25.068808000014542
1780008969.7443078,13,17,27.26715200014951
1780008981.6080868,17,13,43.78928000005544
1780009128.2972283,13,17,30.403640999793424
1780009140.1926754,17,13,37.9030670001157
1780009534.2969022,13,17,26.292811000075744
1780009546.157232,17,13,34.359021999989636
1780009650.4771752,13,17,21.64124399996581
1780009662.380182,17,13,52.18980900008319
1780009874.337027,13,17,36.378461999902356
1780009886.2021174,17,13,38.9801369997258
1780010445.8267488,13,17,44.28944099981891
1780010700.1986256,13,17,44.94098099985422
1780011041.8873727,13,17,28.653311999732978
1780011044.0117311,14,18,22.89462899989303
1780011044.0404563,14,18,25.480360000074143
1780011044.1464617,13,17,24.07221599969489
1780011044.2305949,18,14,23.568030999740586
1780011044.2660763,18,14,28.469425000366755
1780011044.3364086,17,13,24.634555999909935
1780011522.7599611,13,17,50.40739800006122
1780011524.7848225,13,17,30.44192099969223
1780011524.9151802,17,13,25.377585999194707
1780011524.9438949,14,18,25.14960699954827
1780011525.3590124,18,14,61.22307799978444
1780011527.9444902,5,17,32.70421199977136
1780011527.9911232,2,17,27.40877599990199
1780011528.0511672,10,14,24.919909000345797
1780025128.9050267,13,17,17.312928999672295
1780025130.9947886,13,17,13.87254099972779
1780025131.0100486,14,18,13.580336999439169
1780025131.0751207,18,14,13.761027000327886
1780025131.0924473,17,13,15.521909999733907
1780025133.8601062,2,17,15.62647399987327
1780025133.877979,2,17,14.69033700050204
1780025134.107029,1,14,24.633404000269365
1780034501.806961,13,17,34.156641999288695
1780034503.7796433,14,18,21.688059998268727
1780034503.8315954,13,17,19.34313699894119
1780034503.9005475,18,14,23.14597900112858
1780034503.954186,17,13,20.450961999813444
1780034586.4755037,13,17,37.91259699937655
1780034588.457484,13,17,19.83048600050097
1780034588.5035546,14,18,17.398645999492146
1780034588.5298471,17,13,18.65751600053045
1780034588.5706444,18,14,19.38824900025793
